
Day 0 Summary:
Hour, District ID, Ignorant, Alarmed, Zombie, Population
 0,            0,     1000,       0,      0,       1000
 0,            1,     1000,       0,      0,       1000
 0,            2,     1000,       0,      0,       1000
 0,            3,     1000,       0,      0,       1000
 0,            4,     1000,       0,      0,       1000
 0,            5,     1000,       0,      0,       1000
 0,            6,     1000,       0,      0,       1000
 0,            7,     1000,       0,      0,       1000
 0,            8,     1000,       0,      0,       1000
 0,            9,     1000,       0,      0,       1000
 0,           10,     1000,       1,      0,       1001
 0,           11,     1000,       0,      0,       1000
 0,           12,     1000,       0,      1,       1001
 0,           13,     1000,       0,      0,       1000
 0,           14,     1000,       0,      0,       1000
 0,           15,     1000,       0,      0,       1000
 0,           16,     1000,       0,      0,       1000
 0,           17,     1000,       0,      0,       1000
 0,           18,     1000,       0,      0,       1000
 0,           19,     1000,       0,      0,       1000


Day 1 Summary:
Hour, District ID, Ignorant, Alarmed, Zombie, Population
 1,            0,     1072,       0,      0,       1072
 1,            1,      954,       0,      0,        954
 1,            2,     1102,       0,      0,       1102
 1,            3,     1318,       0,      0,       1318
 1,            4,      921,       0,      0,        921
 1,            5,      910,       0,      0,        910
 1,            6,      926,       0,      0,        926
 1,            7,      915,       0,      0,        915
 1,            8,     1020,       0,      0,       1020
 1,            9,     1017,       0,      0,       1017
 1,           10,     1085,       1,      0,       1086
 1,           11,      936,       0,      0,        936
 1,           12,      954,       0,      1,        955
 1,           13,      924,       0,      0,        924
 1,           14,     1164,       0,      0,       1164
 1,           15,      928,       0,      0,        928
 1,           16,     1022,       0,      0,       1022
 1,           17,      954,       0,      0,        954
 1,           18,      932,       0,      0,        932
 1,           19,      946,       0,      0,        946


Day 1 Summary:
Hour, District ID, Ignorant, Alarmed, Zombie, Population
 2,            0,     1142,       0,      0,       1142
 2,            1,      935,       0,      0,        935
 2,            2,     1159,       0,      0,       1159
 2,            3,     1544,       0,      0,       1544
 2,            4,      868,       0,      0,        868
 2,            5,      857,       0,      0,        857
 2,            6,      866,       0,      0,        866
 2,            7,      848,       0,      0,        848
 2,            8,     1046,       0,      0,       1046
 2,            9,     1016,       0,      0,       1016
 2,           10,     1133,       1,      0,       1134
 2,           11,      875,       0,      0,        875
 2,           12,      926,       0,      1,        927
 2,           13,      881,       0,      0,        881
 2,           14,     1267,       0,      0,       1267
 2,           15,      880,       0,      0,        880
 2,           16,     1059,       0,      0,       1059
 2,           17,      909,       0,      0,        909
 2,           18,      885,       0,      0,        885
 2,           19,      904,       0,      0,        904


Day 1 Summary:
Hour, District ID, Ignorant, Alarmed, Zombie, Population
 3,            0,     1175,       0,      0,       1175
 3,            1,      939,       0,      0,        939
 3,            2,     1268,       2,      0,       1270
 3,            3,     1792,       0,      0,       1792
 3,            4,      792,       0,      0,        792
 3,            5,      795,       0,      0,        795
 3,            6,      786,       0,      0,        786
 3,            7,      785,       0,      0,        785
 3,            8,     1052,       0,      0,       1052
 3,            9,     1037,       0,      0,       1037
 3,           10,     1166,       0,      0,       1166
 3,           11,      823,       0,      0,        823
 3,           12,      879,       0,      1,        880
 3,           13,      831,       0,      0,        831
 3,           14,     1356,       0,      0,       1356
 3,           15,      852,       0,      0,        852
 3,           16,     1092,       0,      0,       1092
 3,           17,      873,       0,      0,        873
 3,           18,      829,       0,      0,        829
 3,           19,      877,       0,      0,        877


Day 1 Summary:
Hour, District ID, Ignorant, Alarmed, Zombie, Population
 4,            0,     1220,       0,      0,       1220
 4,            1,      935,       0,      0,        935
 4,            2,     1316,       2,      0,       1318
 4,            3,     1946,       0,      0,       1946
 4,            4,      754,       0,      0,        754
 4,            5,      751,       0,      0,        751
 4,            6,      758,       0,      0,        758
 4,            7,      752,       0,      0,        752
 4,            8,     1079,       0,      0,       1079
 4,            9,     1057,       0,      0,       1057
 4,           10,     1223,       0,      0,       1223
 4,           11,      779,       0,      0,        779
 4,           12,      825,       1,      1,        827
 4,           13,      776,       0,      0,        776
 4,           14,     1424,       0,      0,       1424
 4,           15,      807,       0,      0,        807
 4,           16,     1106,       0,      0,       1106
 4,           17,      850,       0,      0,        850
 4,           18,      804,       0,      0,        804
 4,           19,      836,       0,      0,        836


Day 1 Summary:
Hour, District ID, Ignorant, Alarmed, Zombie, Population
 5,            0,     1244,       0,      0,       1244
 5,            1,      922,       0,      0,        922
 5,            2,     1368,       2,      0,       1370
 5,            3,     2113,       0,      0,       2113
 5,            4,      729,       0,      0,        729
 5,            5,      694,       0,      0,        694
